task_id,method,repetition,time_min,time_to_pipeline_min,exec_success,operator_errors,strict_errors,field_errors,hallucinated,missing_required,wrong_order,unexpected,n_create_pipeline_calls,n_render_pipeline_calls,n_execute_pipeline_calls_by_agent,n_valid_records,n_total_records,final_chain
1a_qa_basic,df_agent_only_dev,0,,2.1505336284637453,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,df_agent_only_dev,1,1.9729728857676188,1.2310826102892558,0,2,1,0,0,1,0,1,2,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,df_agent_only_dev,2,,2.4975538651148477,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,df_agent_slim,0,,1.9862654288609822,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,df_agent_slim,1,2.040232765674591,1.4727347413698832,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,df_agent_slim,2,1.4468239267667136,1.0723989288012186,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1b_qa_with_filter,df_agent_only_dev,0,3.5861270785331727,2.1949496428171793,0,6,3,0,0,3,0,3,1,1,0,0,8,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_only_dev,1,,1.8911123394966125,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_only_dev,2,,2.246430544058482,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_slim,0,,1.037138613065084,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_slim,1,,1.6770352005958558,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_slim,2,2.3178864479064942,1.6053112149238586,0,6,3,0,0,3,0,3,1,1,0,0,8,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
2a_single_language_sentiment,df_agent_only_dev,0,,0.8971861839294434,0,2,1,0,0,1,0,1,1,1,0,0,1,ReasoningQuestionSolvableSampleEvaluator
2a_single_language_sentiment,df_agent_only_dev,1,,3.7966262777646382,0,0,0,0,0,0,0,0,1,1,0,0,1,PromptedGenerator
2a_single_language_sentiment,df_agent_only_dev,2,,2.0243322412172953,0,1,1,0,0,0,0,1,2,1,0,0,1,FormatStrPromptedGenerator | PromptedEvaluator | GeneralFilter
2a_single_language_sentiment,df_agent_slim,0,,1.897775443394979,0,0,0,0,0,0,0,0,1,1,0,0,1,PromptedGenerator
2a_single_language_sentiment,df_agent_slim,1,1.9493143200874328,1.227850349744161,1,0,1,0,0,0,0,0,1,1,0,15,15,PromptedEvaluator
2a_single_language_sentiment,df_agent_slim,2,4.599215523401896,2.653999336560567,1,6,1,0,0,0,0,6,1,1,0,13,13,LLMLanguageFilter | HtmlEntityRefiner | HtmlUrlRemoverRefiner | RemoveEmojiRefiner | RemoveExtraSpacesRefiner | PromptedEvaluator | PromptedFilter
2b_review_governance,df_agent_only_dev,0,2.895438921451569,1.8149436155954997,1,0,2,0,0,0,0,0,1,1,0,19,19,LLMLanguageFilter | PromptedRefiner | PromptedEvaluator | PromptedFilter
2b_review_governance,df_agent_only_dev,1,,4.642132051785787,0,0,3,0,0,0,0,0,1,1,0,0,1,LLMLanguageFilter | HtmlUrlRemoverRefiner | RemoveEmojiRefiner | RemoveExtraSpacesRefiner | PromptedEvaluator | PromptedFilter
