task_id,method,repetition,time_min,time_to_pipeline_min,exec_success,operator_errors,strict_errors,field_errors,hallucinated,missing_required,wrong_order,unexpected,n_create_pipeline_calls,n_render_pipeline_calls,n_execute_pipeline_calls_by_agent,n_valid_records,n_total_records,final_chain
1a_qa_basic,dataflow_agent,0,,4.546983965237936,0,3,1,0,0,1,0,2,1,1,0,0,1,ReasoningQuestionGenerator | ReasoningAnswerGenerator
1a_qa_basic,dataflow_agent,1,,1.7056514620780945,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,dataflow_agent,2,,0.9899713476498921,0,2,1,0,0,1,0,1,1,1,0,0,1,PromptedGenerator
1a_qa_basic,no_dag_sync,0,,1.283679433663686,0,2,1,0,0,1,0,1,1,1,0,0,1,AgenticRAGAtomicTaskGenerator
1a_qa_basic,no_dag_sync,1,,3.117067547639211,0,2,1,0,0,1,0,1,1,0,0,0,1,CondorGenerator
1a_qa_basic,no_dag_sync,2,,3.5195691029230756,0,2,1,0,0,1,0,1,1,0,0,0,1,PromptedGenerator
1a_qa_basic,no_exec_gating,0,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,no_exec_gating,1,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,no_exec_gating,2,2.0229336698849996,1.3250770727793375,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,no_mcp,0,,0.8981298128763835,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,no_mcp,1,3.2244279543558756,1.605528211593628,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,no_mcp,2,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,no_skills,0,,3.2200484832127887,0,3,3,0,2,1,0,0,2,1,0,0,1,sft_generator | quality_filter
1a_qa_basic,no_skills,1,1.8430130759874979,1.2825153668721516,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,no_skills,2,,1.1194730917612712,0,4,1,0,0,1,0,3,1,1,0,0,1,SFTGeneratorSeed | ReasoningQuestionGenerator | ReasoningAnswerGenerator
1b_qa_with_filter,dataflow_agent,0,,1.4857472737630208,0,3,3,0,0,3,0,0,1,1,0,0,1,PromptedGenerator | PromptedEvaluator | GeneralFilter
1b_qa_with_filter,dataflow_agent,1,,3.1822763522466024,0,7,3,0,0,3,0,4,1,1,0,0,1,ReasoningQuestionGenerator | ReasoningAnswerGenerator | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,dataflow_agent,2,,,0,3,3,0,0,3,0,0,0,0,0,0,0,
